iter	Passed	Remaining
883	32504	4265
884	32540	4228
885	32575	4191
886	32611	4154
887	32647	4117
888	32684	4080
889	32722	4044
890	32757	4007
891	32790	3970
892	32826	3933
893	32862	3896
894	32901	3859
895	32937	3823
896	32975	3786
897	33010	3749
898	33044	3712
899	33081	3675
900	33116	3638
901	33151	3601
902	33184	3564
903	33222	3528
904	33261	3491
905	33298	3454
906	33335	3418
907	33369	3381
908	33403	3344
909	33439	3307
910	33477	3270
911	33513	3233
912	33549	3196
913	33586	3160
914	33621	3123
915	33657	3086
916	33695	3049
917	33732	3013
918	33768	2976
919	33805	2939
920	33841	2902
921	33880	2866
922	33920	2829
923	33957	2793
924	33993	2756
925	34029	2719
926	34066	2682
927	34102	2645
928	34138	2609
929	34173	2572
930	34212	2535
931	34250	2498
932	34286	2462
933	34323	2425
934	34363	2388
935	34399	2352
936	34435	2315
937	34473	2278
938	34506	2241
939	34542	2204
940	34582	2168
941	34617	2131
942	34654	2094
943	34690	2057
944	34728	2021
945	34764	1984
946	34801	1947
947	34838	1910
948	34875	1874
949	34912	1837
950	34948	1800
951	34985	1763
952	35021	1727
953	35057	1690
954	35093	1653
955	35131	1616
956	35167	1580
957	35204	1543
958	35236	1506
959	35273	1469
960	35308	1432
961	35344	1396
962	35380	1359
963	35414	1322
964	35450	1285
965	35487	1249
966	35524	1212
967	35559	1175
968	35596	1138
969	35634	1102
970	35671	1065
971	35705	1028
972	35744	991
973	35774	954
974	35811	918
975	35849	881
976	35885	844
977	35923	808
978	35962	771
979	35998	734
980	36037	697
981	36073	661
982	36108	624
983	36145	587
984	36182	551
985	36219	514
986	36257	477
987	36293	440
988	36329	404
989	36366	367
990	36401	330
991	36439	293
992	36478	257
993	36516	220
994	36554	183
995	36592	146
996	36630	110
997	36666	73
998	36703	36
999	36736	0
